"head","winner","loser","worker_id","rt","Center","Left","Right","Answer","sampleAlg","sampleSet"
19,18,5,"3n7ggxph","1312","pdcos","pdcob","fdmow","pdcob","random","train"
23,31,21,"3n7ggxph","1973","pdhos","pnhos","pdhns","pnhos","random","train"
9,1,10,"3n7ggxph","1364","fnfow","fdfow","fnfyb","fdfow","random","train"
18,23,9,"3n7ggxph","2879","pdcob","fnfow","pdhos","pdhos","random","train"
8,12,5,"3n7ggxph","1739","fnfob","fdmow","fnmob","fnmob","random","train"
28,27,13,"3n7ggxph","1137","pnhnb","fnmow","pncos","pncos","validation","train"
17,16,31,"3n7ggxph","1908","pdcns","pdcnb","pnhos","pdcnb","random","train"
16,22,30,"3n7ggxph","4021","pdcnb","pdhob","pnhob","pdhob","random","train"
13,15,2,"3n7ggxph","1219","fnmow","fnmyw","fdfyb","fnmyw","random","train"
2,7,25,"3n7ggxph","1390","fdfyb","pncns","fdmyw","fdmyw","random","train"
29,27,9,"3n7ggxph","1531","pnhns","pncos","fnfow","pncos","random","train"
17,26,6,"3n7ggxph","995","pdcns","fdmyb","pncob","pncob","random","train"
4,7,10,"3n7ggxph","1459","fdmob","fdmyw","fnfyb","fdmyw","random","test"
17,11,5,"3n7ggxph","1915","pdcns","fnfyw","fdmow","fnfyw","random","train"
15,7,13,"3n7ggxph","1628","fnmyw","fnmow","fdmyw","fdmyw","random","train"
24,22,14,"3n7ggxph","1255","pncnb","pdhob","fnmyb","pdhob","random","train"
5,15,30,"3n7ggxph","1091","fdmow","pnhob","fnmyw","fnmyw","random","train"
29,22,6,"3n7ggxph","1452","pnhns","fdmyb","pdhob","pdhob","random","train"
21,17,24,"3n7ggxph","1545","pdhns","pncnb","pdcns","pdcns","random","train"
7,13,1,"3n7ggxph","1497","fdmyw","fnmow","fdfow","fnmow","random","test"
10,2,22,"3n7ggxph","1162","fnfyb","fdfyb","pdhob","fdfyb","random","train"
15,10,19,"3n7ggxph","1389","fnmyw","fnfyb","pdcos","fnfyb","random","train"
25,23,14,"3n7ggxph","1039","pncns","pdhos","fnmyb","pdhos","random","train"
29,23,22,"3n7ggxph","1440","pnhns","pdhob","pdhos","pdhos","random","train"
15,31,16,"3n7ggxph","1877","fnmyw","pnhos","pdcnb","pnhos","validation","train"
2,10,17,"3n7ggxph","1199","fdfyb","pdcns","fnfyb","fnfyb","random","train"
26,18,15,"3n7ggxph","1327","pncob","pdcob","fnmyw","pdcob","random","train"
21,22,11,"3n7ggxph","1594","pdhns","pdhob","fnfyw","pdhob","random","train"
10,6,16,"3n7ggxph","1625","fnfyb","fdmyb","pdcnb","fdmyb","validation","train"
12,6,17,"3n7ggxph","1425","fnmob","fdmyb","pdcns","fdmyb","random","train"
11,1,30,"3n7ggxph","1158","fnfyw","pnhob","fdfow","fdfow","random","train"
26,26,3,"3n7ggxph","1543","pncob","fdfyw","pncob","pncob","check",NA
31,29,0,"3n7ggxph","1416","pnhos","fdfob","pnhns","pnhns","random","train"
18,24,12,"3n7ggxph","1556","pdcob","fnmob","pncnb","pncnb","random","train"
19,19,24,"3n7ggxph","1803","pdcos","pncnb","pdcos","pdcos","check",NA
30,13,3,"3n7ggxph","1673","pnhob","fnmow","fdfyw","fnmow","random","train"
24,26,1,"3n7ggxph","1100","pncnb","fdfow","pncob","pncob","random","train"
30,9,12,"3n7ggxph","1847","pnhob","fnfow","fnmob","fnfow","random","train"
19,28,11,"3n7ggxph","1087","pdcos","fnfyw","pnhnb","pnhnb","random","train"
30,17,10,"3n7ggxph","1361","pnhob","pdcns","fnfyb","pdcns","random","train"
1,0,10,"3n7ggxph","1401","fdfow","fnfyb","fdfob","fdfob","random","train"
28,29,11,"3n7ggxph","1101","pnhnb","pnhns","fnfyw","pnhns","random","train"
4,6,18,"3n7ggxph","1246","fdmob","fdmyb","pdcob","fdmyb","random","train"
13,13,23,"3n7ggxph","883","fnmow","pdhos","fnmow","fnmow","check",NA
1,0,29,"3n7ggxph","1036","fdfow","pnhns","fdfob","fdfob","random","test"
7,13,6,"3n7ggxph","1490","fdmyw","fnmow","fdmyb","fnmow","random","train"
24,28,23,"3n7ggxph","1066","pncnb","pdhos","pnhnb","pnhnb","random","train"
31,23,18,"3n7ggxph","1307","pnhos","pdcob","pdhos","pdhos","random","train"
7,2,10,"3n7ggxph","2072","fdmyw","fdfyb","fnfyb","fdfyb","random","train"
23,29,20,"3n7ggxph","1129","pdhos","pnhns","pdhnb","pnhns","random","train"
16,21,31,"3n7ggxph","2644","pdcnb","pdhns","pnhos","pdhns","random","train"
6,9,24,"3n7ggxph","1283","fdmyb","pncnb","fnfow","fnfow","random","train"
28,28,17,"3n7ggxph","1978","pnhnb","pnhnb","pdcns","pnhnb","check",NA
21,3,8,"3n7ggxph","1862","pdhns","fnfob","fdfyw","fdfyw","random","train"
15,6,24,"3n7ggxph","1795","fnmyw","pncnb","fdmyb","fdmyb","random","train"
25,16,31,"3n7ggxph","1666","pncns","pdcnb","pnhos","pdcnb","random","train"
21,7,6,"3n7ggxph","1704","pdhns","fdmyb","fdmyw","fdmyw","random","train"
16,24,3,"3n7ggxph","1090","pdcnb","fdfyw","pncnb","pncnb","random","train"
11,30,18,"3n7ggxph","1493","fnfyw","pdcob","pnhob","pnhob","random","train"
25,29,2,"3n7ggxph","1036","pncns","pnhns","fdfyb","pnhns","random","train"
6,11,30,"3n7ggxph","1075","fdmyb","fnfyw","pnhob","fnfyw","random","test"
29,21,28,"3n7ggxph","1412","pnhns","pnhnb","pdhns","pdhns","random","train"
24,26,18,"3n7ggxph","1875","pncnb","pncob","pdcob","pncob","random","train"
3,11,23,"3n7ggxph","1094","fdfyw","pdhos","fnfyw","fnfyw","random","train"
17,16,18,"3n7ggxph","1112","pdcns","pdcob","pdcnb","pdcnb","validation","train"
15,0,31,"3n7ggxph","1666","fnmyw","fdfob","pnhos","fdfob","random","train"
26,20,4,"3n7ggxph","1124","pncob","pdhnb","fdmob","pdhnb","random","train"
5,10,25,"3n7ggxph","1256","fdmow","pncns","fnfyb","fnfyb","random","train"
11,22,19,"3n7ggxph","1999","fnfyw","pdcos","pdhob","pdhob","random","train"
18,26,20,"3n7ggxph","1114","pdcob","pdhnb","pncob","pncob","random","train"
23,24,13,"3n7ggxph","859","pdhos","pncnb","fnmow","pncnb","validation","train"
0,17,30,"3n7ggxph","1403","fdfob","pdcns","pnhob","pdcns","random","train"
23,6,13,"3n7ggxph","1553","pdhos","fdmyb","fnmow","fdmyb","random","train"
30,17,4,"3n7ggxph","1426","pnhob","fdmob","pdcns","pdcns","random","train"
2,15,26,"3n7ggxph","1776","fdfyb","pncob","fnmyw","fnmyw","random","train"
13,2,28,"3n7ggxph","1751","fnmow","pnhnb","fdfyb","fdfyb","random","train"
31,23,24,"3n7ggxph","2108","pnhos","pncnb","pdhos","pdhos","random","train"
22,17,14,"3n7ggxph","1885","pdhob","fnmyb","pdcns","pdcns","random","train"
4,10,16,"3n7ggxph","1479","fdmob","fnfyb","pdcnb","fnfyb","random","train"
1,3,13,"3n7ggxph","1518","fdfow","fdfyw","fnmow","fdfyw","random","train"
0,1,11,"3n7ggxph","2517","fdfob","fnfyw","fdfow","fdfow","random","train"
11,9,7,"3n7ggxph","2108","fnfyw","fdmyw","fnfow","fnfow","random","train"
30,21,1,"3n7ggxph","1665","pnhob","pdhns","fdfow","pdhns","random","train"
29,21,0,"3n7ggxph","1689","pnhns","pdhns","fdfob","pdhns","random","train"
9,6,31,"3n7ggxph","1774","fnfow","fdmyb","pnhos","fdmyb","random","train"
20,7,1,"3n7ggxph","1762","pdhnb","fdmyw","fdfow","fdmyw","random","train"
18,31,0,"3n7ggxph","1666","pdcob","fdfob","pnhos","pnhos","validation","train"
5,21,22,"3n7ggxph","2078","fdmow","pdhob","pdhns","pdhns","random","train"
30,19,2,"3n7ggxph","1524","pnhob","pdcos","fdfyb","pdcos","random","train"
3,18,30,"3n7ggxph","1420","fdfyw","pdcob","pnhob","pdcob","random","train"
27,28,15,"3n7ggxph","1367","pncos","fnmyw","pnhnb","pnhnb","random","train"
23,19,17,"3n7ggxph","1409","pdhos","pdcns","pdcos","pdcos","random","train"
19,29,2,"3n7ggxph","1587","pdcos","fdfyb","pnhns","pnhns","random","train"
13,3,27,"3n7ggxph","1459","fnmow","pncos","fdfyw","fdfyw","random","train"
28,23,11,"3n7ggxph","3275","pnhnb","pdhos","fnfyw","pdhos","random","train"
2,19,26,"3n7ggxph","1562","fdfyb","pncob","pdcos","pdcos","random","train"
11,1,18,"3n7ggxph","1400","fnfyw","pdcob","fdfow","fdfow","random","train"
21,5,11,"3n7ggxph","1447","pdhns","fdmow","fnfyw","fdmow","random","test"
15,13,1,"3n7ggxph","1464","fnmyw","fdfow","fnmow","fnmow","random","test"
25,26,0,"3n7ggxph","1226","pncns","fdfob","pncob","pncob","random","train"
14,16,22,"3n7ggxph","2341","fnmyb","pdhob","pdcnb","pdcnb","random","train"
11,8,29,"3n7ggxph","1605","fnfyw","pnhns","fnfob","fnfob","random","train"
26,18,19,"3n7ggxph","1816","pncob","pdcos","pdcob","pdcob","random","train"
2,12,23,"3n7ggxph","1710","fdfyb","fnmob","pdhos","fnmob","random","train"
7,4,22,"3n7ggxph","1711","fdmyw","fdmob","pdhob","fdmob","random","train"
31,23,7,"3n7ggxph","2497","pnhos","fdmyw","pdhos","pdhos","random","train"
24,28,0,"3n7ggxph","2234","pncnb","fdfob","pnhnb","pnhnb","random","train"
3,3,27,"3n7ggxph","1711","fdfyw","fdfyw","pncos","fdfyw","check",NA
7,15,10,"3n7ggxph","1928","fdmyw","fnfyb","fnmyw","fnmyw","random","train"
3,14,23,"3n7ggxph","1417","fdfyw","fnmyb","pdhos","fnmyb","random","train"
2,15,16,"3n7ggxph","1498","fdfyb","fnmyw","pdcnb","fnmyw","random","train"
18,26,27,"3n7ggxph","1821","pdcob","pncob","pncos","pncob","random","train"
4,0,8,"3n7ggxph","2377","fdmob","fnfob","fdfob","fdfob","random","train"
30,13,1,"3n7ggxph","1837","pnhob","fnmow","fdfow","fnmow","random","train"
17,30,0,"3n7ggxph","1537","pdcns","fdfob","pnhob","pnhob","random","train"
23,30,3,"3n7ggxph","1895","pdhos","fdfyw","pnhob","pnhob","random","train"
21,29,4,"3n7ggxph","1694","pdhns","pnhns","fdmob","pnhns","random","test"
22,2,14,"3n7ggxph","1816","pdhob","fnmyb","fdfyb","fdfyb","random","train"
6,6,21,"3n7ggxph","1873","fdmyb","fdmyb","pdhns","fdmyb","check",NA
10,2,24,"3n7ggxph","1920","fnfyb","fdfyb","pncnb","fdfyb","random","train"
6,21,18,"3n7ggxph","1909","fdmyb","pdhns","pdcob","pdhns","random","train"
6,18,24,"3n7ggxph","2546","fdmyb","pdcob","pncnb","pdcob","random","train"
11,2,7,"3n7ggxph","2263","fnfyw","fdfyb","fdmyw","fdfyb","random","train"
26,5,0,"3n7ggxph","3451","pncob","fdfob","fdmow","fdmow","random","train"
8,9,23,"3n7ggxph","1838","fnfob","fnfow","pdhos","fnfow","random","train"
24,19,6,"3n7ggxph","1903","pncnb","pdcos","fdmyb","pdcos","validation","train"
20,6,9,"3n7ggxph","1824","pdhnb","fdmyb","fnfow","fdmyb","random","train"
7,16,23,"3n7ggxph","1756","fdmyw","pdhos","pdcnb","pdcnb","random","train"
23,27,16,"3n7ggxph","2573","pdhos","pdcnb","pncos","pncos","random","train"
19,22,21,"3n7ggxph","2154","pdcos","pdhns","pdhob","pdhob","random","train"
2,12,22,"3n7ggxph","1623","fdfyb","fnmob","pdhob","fnmob","random","train"
0,0,4,"3n7ggxph","1539","fdfob","fdfob","fdmob","fdfob","check",NA
16,16,12,"3n7ggxph","1266","pdcnb","pdcnb","fnmob","pdcnb","check",NA
4,0,28,"b5wma4no","13365","fdmob","fdfob","pnhnb","fdfob","random","train"
13,4,28,"b5wma4no","1670","fnmow","fdmob","pnhnb","fdmob","random","train"
15,3,19,"b5wma4no","3537","fnmyw","pdcos","fdfyw","fdfyw","random","train"
26,26,28,"b5wma4no","5546","pncob","pncob","pnhnb","pncob","check",NA
12,24,23,"b5wma4no","8157","fnmob","pdhos","pncnb","pncnb","random","train"
5,4,11,"b5wma4no","4991","fdmow","fnfyw","fdmob","fdmob","random","train"
12,14,22,"b5wma4no","2071","fnmob","fnmyb","pdhob","fnmyb","random","test"
6,0,27,"b5wma4no","3838","fdmyb","fdfob","pncos","fdfob","random","train"
14,7,19,"b5wma4no","2318","fnmyb","pdcos","fdmyw","fdmyw","random","train"
15,24,23,"b5wma4no","3690","fnmyw","pncnb","pdhos","pncnb","random","train"
11,27,18,"b5wma4no","5118","fnfyw","pncos","pdcob","pncos","random","test"
26,4,7,"b5wma4no","4210","pncob","fdmyw","fdmob","fdmob","random","train"
9,11,28,"b5wma4no","7851","fnfow","fnfyw","pnhnb","fnfyw","random","test"
1,19,20,"b5wma4no","2408","fdfow","pdcos","pdhnb","pdcos","random","train"
18,22,4,"b5wma4no","1201","pdcob","fdmob","pdhob","pdhob","random","train"
4,6,5,"b5wma4no","4808","fdmob","fdmyb","fdmow","fdmyb","validation","train"
14,9,31,"b5wma4no","1375","fnmyb","fnfow","pnhos","fnfow","random","train"
26,12,29,"b5wma4no","1384","pncob","pnhns","fnmob","fnmob","random","train"
16,3,8,"b5wma4no","1747","pdcnb","fdfyw","fnfob","fdfyw","random","train"
3,6,8,"b5wma4no","5435","fdfyw","fdmyb","fnfob","fdmyb","random","train"
15,16,31,"b5wma4no","6068","fnmyw","pnhos","pdcnb","pdcnb","validation","train"
2,1,26,"b5wma4no","2493","fdfyb","fdfow","pncob","fdfow","random","train"
25,15,0,"b5wma4no","1977","pncns","fnmyw","fdfob","fnmyw","random","train"
21,31,8,"b5wma4no","1724","pdhns","pnhos","fnfob","pnhos","random","train"
23,11,10,"b5wma4no","4970","pdhos","fnfyw","fnfyb","fnfyw","random","test"
14,0,27,"b5wma4no","2079","fnmyb","fdfob","pncos","fdfob","random","train"
29,20,18,"b5wma4no","2321","pnhns","pdcob","pdhnb","pdhnb","random","train"
30,31,26,"b5wma4no","4142","pnhob","pnhos","pncob","pnhos","random","train"
14,14,23,"b5wma4no","1940","fnmyb","pdhos","fnmyb","fnmyb","check",NA
28,22,7,"b5wma4no","2286","pnhnb","pdhob","fdmyw","pdhob","random","train"
28,24,10,"b5wma4no","1336","pnhnb","fnfyb","pncnb","pncnb","random","train"
29,15,19,"b5wma4no","2798","pnhns","fnmyw","pdcos","fnmyw","random","train"
4,28,29,"b5wma4no","2414","fdmob","pnhns","pnhnb","pnhnb","random","train"
4,11,28,"b5wma4no","3547","fdmob","fnfyw","pnhnb","fnfyw","random","train"
19,25,16,"b5wma4no","3471","pdcos","pdcnb","pncns","pncns","random","train"
31,16,0,"b5wma4no","1266","pnhos","fdfob","pdcnb","pdcnb","random","train"
13,23,20,"b5wma4no","2432","fnmow","pdhos","pdhnb","pdhos","random","train"
23,17,9,"b5wma4no","3200","pdhos","pdcns","fnfow","pdcns","random","train"
9,10,24,"b5wma4no","2535","fnfow","pncnb","fnfyb","fnfyb","random","train"
11,2,19,"b5wma4no","1857","fnfyw","pdcos","fdfyb","fdfyb","random","train"
27,30,4,"b5wma4no","1746","pncos","fdmob","pnhob","pnhob","random","train"
27,1,12,"b5wma4no","4568","pncos","fnmob","fdfow","fdfow","random","train"
21,14,8,"b5wma4no","4553","pdhns","fnfob","fnmyb","fnmyb","random","train"
26,31,23,"b5wma4no","1441","pncob","pdhos","pnhos","pnhos","random","train"
2,2,23,"b5wma4no","1158","fdfyb","pdhos","fdfyb","fdfyb","check",NA
12,24,29,"b5wma4no","2821","fnmob","pncnb","pnhns","pncnb","random","train"
12,9,7,"b5wma4no","3385","fnmob","fdmyw","fnfow","fnfow","random","train"
15,2,21,"b5wma4no","2600","fnmyw","fdfyb","pdhns","fdfyb","random","train"
29,23,22,"b5wma4no","2618","pnhns","pdhob","pdhos","pdhos","random","train"
29,16,14,"b5wma4no","4244","pnhns","pdcnb","fnmyb","pdcnb","random","train"
16,23,9,"b5wma4no","2056","pdcnb","fnfow","pdhos","pdhos","random","train"
22,31,26,"b5wma4no","2707","pdhob","pncob","pnhos","pnhos","random","test"
10,6,23,"b5wma4no","1298","fnfyb","pdhos","fdmyb","fdmyb","random","train"
23,24,10,"b5wma4no","1269","pdhos","fnfyb","pncnb","pncnb","random","train"
9,23,16,"b5wma4no","3000","fnfow","pdhos","pdcnb","pdhos","random","train"
6,17,9,"b5wma4no","3115","fdmyb","pdcns","fnfow","pdcns","random","train"
25,21,10,"b5wma4no","2747","pncns","pdhns","fnfyb","pdhns","random","train"
8,0,3,"b5wma4no","5930","fnfob","fdfob","fdfyw","fdfob","random","test"
17,13,12,"b5wma4no","4170","pdcns","fnmow","fnmob","fnmow","validation","train"
14,10,29,"b5wma4no","1724","fnmyb","pnhns","fnfyb","fnfyb","random","test"
7,25,19,"b5wma4no","2787","fdmyw","pncns","pdcos","pncns","random","train"
6,18,31,"b5wma4no","6731","fdmyb","pdcob","pnhos","pdcob","random","train"
18,29,9,"b5wma4no","2219","pdcob","fnfow","pnhns","pnhns","random","train"
9,9,21,"b5wma4no","905","fnfow","pdhns","fnfow","fnfow","check",NA
20,6,4,"b5wma4no","1039","pdhnb","fdmyb","fdmob","fdmyb","random","train"
27,27,7,"b5wma4no","1252","pncos","pncos","fdmyw","pncos","check",NA
18,31,0,"b5wma4no","983","pdcob","fdfob","pnhos","pnhos","validation","train"
12,13,20,"b5wma4no","1883","fnmob","pdhnb","fnmow","fnmow","random","train"
10,11,1,"b5wma4no","2064","fnfyb","fnfyw","fdfow","fnfyw","random","train"
31,27,8,"b5wma4no","1424","pnhos","pncos","fnfob","pncos","random","test"
16,25,31,"b5wma4no","1040","pdcnb","pncns","pnhos","pncns","random","train"
11,22,19,"b5wma4no","2904","fnfyw","pdhob","pdcos","pdhob","random","train"
2,22,18,"b5wma4no","3151","fdfyb","pdcob","pdhob","pdhob","random","test"
28,19,12,"b5wma4no","3929","pnhnb","pdcos","fnmob","pdcos","random","train"
4,18,29,"b5wma4no","2878","fdmob","pnhns","pdcob","pdcob","random","train"
11,3,0,"b5wma4no","1750","fnfyw","fdfob","fdfyw","fdfyw","random","train"
7,7,31,"b5wma4no","1192","fdmyw","pnhos","fdmyw","fdmyw","check",NA
18,18,9,"b5wma4no","970","pdcob","pdcob","fnfow","pdcob","check",NA
3,20,26,"b5wma4no","1248","fdfyw","pdhnb","pncob","pdhnb","random","train"
10,2,29,"b5wma4no","782","fnfyb","pnhns","fdfyb","fdfyb","random","train"
13,12,14,"b5wma4no","9311","fnmow","fnmob","fnmyb","fnmob","random","train"
0,3,19,"b5wma4no","1519","fdfob","fdfyw","pdcos","fdfyw","random","train"
28,11,19,"b5wma4no","1147","pnhnb","pdcos","fnfyw","fnfyw","random","train"
25,14,18,"b5wma4no","3254","pncns","fnmyb","pdcob","fnmyb","random","test"
17,16,2,"b5wma4no","2215","pdcns","pdcnb","fdfyb","pdcnb","random","train"
5,9,2,"b5wma4no","3273","fdmow","fdfyb","fnfow","fnfow","random","train"
18,24,25,"b5wma4no","2387","pdcob","pncns","pncnb","pncnb","random","train"
