head,winner,loser,worker_id,rt,Center,Left,Right,Answer,sampleAlg,sampleSet
30,6,24,78972,10863,CFD-WM-033-007-HO,CFD-WF-026-008-A,CFD-BF-050-004-HO,CFD-BF-050-004-HO,random,train
17,3,8,78972,5602,CFD-BM-038-038-A,CFD-BF-005-005-HO,CFD-BF-050-036-F,CFD-BF-005-005-HO,random,train
5,8,1,78972,4103,CFD-BF-005-022-F,CFD-BF-002-018-A,CFD-BF-050-036-F,CFD-BF-050-036-F,random,train
21,22,12,78972,2776,CFD-WF-020-012-A,CFD-WF-020-023-HO,CFD-BM-009-003-HO,CFD-WF-020-023-HO,random,test
24,26,22,78972,6085,CFD-WF-026-008-A,CFD-WF-026-024-F,CFD-WF-020-023-HO,CFD-WF-026-024-F,random,test
27,21,19,78972,2488,CFD-WM-023-004-HO,CFD-WF-001-016-A,CFD-WF-020-012-A,CFD-WF-020-012-A,random,test
23,7,17,78972,2253,CFD-WF-020-027-F,CFD-BF-050-012-A,CFD-BM-038-038-A,CFD-BF-050-012-A,random,test
23,22,0,78972,2969,CFD-WF-020-027-F,CFD-BF-002-004-HO,CFD-WF-020-023-HO,CFD-WF-020-023-HO,random,train
32,32,10,78972,1329,CFD-WM-033-053-F,CFD-WM-033-053-F,CFD-BM-002-007-HO,CFD-WM-033-053-F,check,NA
32,24,15,78972,9110,CFD-WM-033-053-F,CFD-WF-026-008-A,CFD-BM-038-007-HO,CFD-WF-026-008-A,random,train
10,4,30,78972,5108,CFD-BM-002-007-HO,CFD-BF-005-020-A,CFD-WM-033-007-HO,CFD-BF-005-020-A,random,train
27,34,25,78972,3502,CFD-WM-023-004-HO,CFD-WF-026-017-HO,CFD-WM-038-011-A,CFD-WM-038-011-A,random,train
35,21,7,78972,2645,CFD-WM-038-018-F,CFD-WF-020-012-A,CFD-BF-050-012-A,CFD-WF-020-012-A,random,train
24,32,14,78972,7137,CFD-WF-026-008-A,CFD-WM-033-053-F,CFD-BM-009-009-F,CFD-WM-033-053-F,random,train
2,13,31,78972,12186,CFD-BF-002-022-F,CFD-BM-009-008-A,CFD-WM-033-014-A,CFD-BM-009-008-A,random,test
25,12,10,78972,11356,CFD-WF-026-017-HO,CFD-BM-002-007-HO,CFD-BM-009-003-HO,CFD-BM-009-003-HO,random,train
13,20,27,78972,9790,CFD-BM-009-008-A,CFD-WM-023-004-HO,CFD-WF-001-027-F,CFD-WF-001-027-F,random,train
35,18,11,78972,2444,CFD-WM-038-018-F,CFD-WF-001-009-HO,CFD-BM-002-016-A,CFD-WF-001-009-HO,random,test
35,33,21,78972,1503,CFD-WM-038-018-F,CFD-WF-020-012-A,CFD-WM-038-005-HO,CFD-WM-038-005-HO,random,train
13,12,31,78972,1978,CFD-BM-009-008-A,CFD-WM-033-014-A,CFD-BM-009-003-HO,CFD-BM-009-003-HO,random,test
5,8,19,78972,3595,CFD-BF-005-022-F,CFD-WF-001-016-A,CFD-BF-050-036-F,CFD-BF-050-036-F,random,train
10,30,15,78972,2712,CFD-BM-002-007-HO,CFD-WM-033-007-HO,CFD-BM-038-007-HO,CFD-WM-033-007-HO,random,test
16,16,6,78972,2134,CFD-BM-038-017-F,CFD-BF-050-004-HO,CFD-BM-038-017-F,CFD-BM-038-017-F,check,NA
10,12,1,78972,9982,CFD-BM-002-007-HO,CFD-BM-009-003-HO,CFD-BF-002-018-A,CFD-BM-009-003-HO,random,train
9,13,0,78972,3241,CFD-BM-002-002-F,CFD-BF-002-004-HO,CFD-BM-009-008-A,CFD-BM-009-008-A,random,test
9,29,26,78972,5354,CFD-BM-002-002-F,CFD-WF-026-024-F,CFD-WM-023-015-F,CFD-WM-023-015-F,random,train
5,21,35,78972,3224,CFD-BF-005-022-F,CFD-WF-020-012-A,CFD-WM-038-018-F,CFD-WF-020-012-A,random,train
27,11,26,78972,3418,CFD-WM-023-004-HO,CFD-WF-026-024-F,CFD-BM-002-016-A,CFD-BM-002-016-A,random,train
3,15,29,78972,4636,CFD-BF-005-005-HO,CFD-WM-023-015-F,CFD-BM-038-007-HO,CFD-BM-038-007-HO,random,test
33,30,1,78972,6796,CFD-WM-038-005-HO,CFD-WM-033-007-HO,CFD-BF-002-018-A,CFD-WM-033-007-HO,random,train
17,4,23,78972,4150,CFD-BM-038-038-A,CFD-WF-020-027-F,CFD-BF-005-020-A,CFD-BF-005-020-A,random,train
32,27,24,78972,3085,CFD-WM-033-053-F,CFD-WF-026-008-A,CFD-WM-023-004-HO,CFD-WM-023-004-HO,random,train
21,8,4,78972,3389,CFD-WF-020-012-A,CFD-BF-005-020-A,CFD-BF-050-036-F,CFD-BF-050-036-F,random,train
32,21,34,78972,5884,CFD-WM-033-053-F,CFD-WM-038-011-A,CFD-WF-020-012-A,CFD-WF-020-012-A,random,train
30,30,34,78972,1117,CFD-WM-033-007-HO,CFD-WM-038-011-A,CFD-WM-033-007-HO,CFD-WM-033-007-HO,check,NA
3,8,11,78972,4008,CFD-BF-005-005-HO,CFD-BM-002-016-A,CFD-BF-050-036-F,CFD-BF-050-036-F,random,train
22,4,8,78972,7090,CFD-WF-020-023-HO,CFD-BF-005-020-A,CFD-BF-050-036-F,CFD-BF-005-020-A,random,train
34,9,15,78972,24742,CFD-WM-038-011-A,CFD-BM-038-007-HO,CFD-BM-002-002-F,CFD-BM-002-002-F,random,train
13,7,10,78972,4334,CFD-BM-009-008-A,CFD-BF-050-012-A,CFD-BM-002-007-HO,CFD-BF-050-012-A,random,train
31,29,24,78972,1805,CFD-WM-033-014-A,CFD-WM-023-015-F,CFD-WF-026-008-A,CFD-WM-023-015-F,random,train
3,21,25,78972,8151,CFD-BF-005-005-HO,CFD-WF-020-012-A,CFD-WF-026-017-HO,CFD-WF-020-012-A,random,train
13,12,21,78972,1297,CFD-BM-009-008-A,CFD-BM-009-003-HO,CFD-WF-020-012-A,CFD-BM-009-003-HO,random,train
17,16,9,78972,1145,CFD-BM-038-038-A,CFD-BM-038-017-F,CFD-BM-002-002-F,CFD-BM-038-017-F,random,train
31,18,22,78972,8662,CFD-WM-033-014-A,CFD-WF-020-023-HO,CFD-WF-001-009-HO,CFD-WF-001-009-HO,random,train
32,31,15,78972,1205,CFD-WM-033-053-F,CFD-WM-033-014-A,CFD-BM-038-007-HO,CFD-WM-033-014-A,random,train
28,30,22,78972,3177,CFD-WM-023-012-A,CFD-WF-020-023-HO,CFD-WM-033-007-HO,CFD-WM-033-007-HO,random,train
14,23,27,78972,11554,CFD-BM-009-009-F,CFD-WM-023-004-HO,CFD-WF-020-027-F,CFD-WF-020-027-F,random,train
23,14,9,78972,3236,CFD-WF-020-027-F,CFD-BM-009-009-F,CFD-BM-002-002-F,CFD-BM-009-009-F,random,train
25,26,1,78972,1378,CFD-WF-026-017-HO,CFD-BF-002-018-A,CFD-WF-026-024-F,CFD-WF-026-024-F,random,train
11,6,20,78972,5124,CFD-BM-002-016-A,CFD-BF-050-004-HO,CFD-WF-001-027-F,CFD-BF-050-004-HO,random,train
19,19,33,78972,1041,CFD-WF-001-016-A,CFD-WF-001-016-A,CFD-WM-038-005-HO,CFD-WF-001-016-A,check,NA
35,5,10,78972,9211,CFD-WM-038-018-F,CFD-BM-002-007-HO,CFD-BF-005-022-F,CFD-BF-005-022-F,random,train
14,14,30,78972,1085,CFD-BM-009-009-F,CFD-BM-009-009-F,CFD-WM-033-007-HO,CFD-BM-009-009-F,check,NA
0,33,35,78972,16727,CFD-BF-002-004-HO,CFD-WM-038-005-HO,CFD-WM-038-018-F,CFD-WM-038-005-HO,random,test
13,30,22,78972,5732,CFD-BM-009-008-A,CFD-WF-020-023-HO,CFD-WM-033-007-HO,CFD-WM-033-007-HO,random,train
0,14,9,78972,32745,CFD-BF-002-004-HO,CFD-BM-009-009-F,CFD-BM-002-002-F,CFD-BM-009-009-F,random,train
17,16,33,78972,1078,CFD-BM-038-038-A,CFD-WM-038-005-HO,CFD-BM-038-017-F,CFD-BM-038-017-F,random,train
12,1,28,78972,2733,CFD-BM-009-003-HO,CFD-BF-002-018-A,CFD-WM-023-012-A,CFD-BF-002-018-A,random,train
34,31,18,78972,3983,CFD-WM-038-011-A,CFD-WM-033-014-A,CFD-WF-001-009-HO,CFD-WM-033-014-A,random,train
13,33,15,78972,11807,CFD-BM-009-008-A,CFD-BM-038-007-HO,CFD-WM-038-005-HO,CFD-WM-038-005-HO,random,train
13,4,35,78972,2260,CFD-BM-009-008-A,CFD-BF-005-020-A,CFD-WM-038-018-F,CFD-BF-005-020-A,random,train
2,2,26,78972,1372,CFD-BF-002-022-F,CFD-WF-026-024-F,CFD-BF-002-022-F,CFD-BF-002-022-F,check,NA
4,28,34,78972,6050,CFD-BF-005-020-A,CFD-WM-038-011-A,CFD-WM-023-012-A,CFD-WM-023-012-A,random,train
23,20,19,78972,3365,CFD-WF-020-027-F,CFD-WF-001-027-F,CFD-WF-001-016-A,CFD-WF-001-027-F,random,train
4,4,3,78972,3368,CFD-BF-005-020-A,CFD-BF-005-005-HO,CFD-BF-005-020-A,CFD-BF-005-020-A,check,NA
3,22,7,78972,7469,CFD-BF-005-005-HO,CFD-WF-020-023-HO,CFD-BF-050-012-A,CFD-WF-020-023-HO,random,train
29,21,2,78972,15049,CFD-WM-023-015-F,CFD-BF-002-022-F,CFD-WF-020-012-A,CFD-WF-020-012-A,random,test
15,32,27,78972,31388,CFD-BM-038-007-HO,CFD-WM-033-053-F,CFD-WM-023-004-HO,CFD-WM-033-053-F,random,test
19,22,24,78972,2439,CFD-WF-001-016-A,CFD-WF-020-023-HO,CFD-WF-026-008-A,CFD-WF-020-023-HO,random,train
2,26,25,78972,12610,CFD-BF-002-022-F,CFD-WF-026-017-HO,CFD-WF-026-024-F,CFD-WF-026-024-F,random,train
15,22,18,78972,4885,CFD-BM-038-007-HO,CFD-WF-020-023-HO,CFD-WF-001-009-HO,CFD-WF-020-023-HO,random,test
0,7,19,78972,2464,CFD-BF-002-004-HO,CFD-WF-001-016-A,CFD-BF-050-012-A,CFD-BF-050-012-A,random,train
11,9,19,78972,1272,CFD-BM-002-016-A,CFD-BM-002-002-F,CFD-WF-001-016-A,CFD-BM-002-002-F,random,test
1,11,19,78972,1933,CFD-BF-002-018-A,CFD-BM-002-016-A,CFD-WF-001-016-A,CFD-BM-002-016-A,random,train
12,0,8,78972,5141,CFD-BM-009-003-HO,CFD-BF-002-004-HO,CFD-BF-050-036-F,CFD-BF-002-004-HO,random,train
25,9,5,78972,7463,CFD-WF-026-017-HO,CFD-BM-002-002-F,CFD-BF-005-022-F,CFD-BM-002-002-F,random,train
4,31,30,78972,3727,CFD-BF-005-020-A,CFD-WM-033-007-HO,CFD-WM-033-014-A,CFD-WM-033-014-A,random,train
18,21,12,78972,2183,CFD-WF-001-009-HO,CFD-BM-009-003-HO,CFD-WF-020-012-A,CFD-WF-020-012-A,random,train
13,8,21,78972,2368,CFD-BM-009-008-A,CFD-WF-020-012-A,CFD-BF-050-036-F,CFD-BF-050-036-F,random,train
32,23,20,78972,4670,CFD-WM-033-053-F,CFD-WF-020-027-F,CFD-WF-001-027-F,CFD-WF-020-027-F,random,train
9,21,26,78972,2331,CFD-BM-002-002-F,CFD-WF-026-024-F,CFD-WF-020-012-A,CFD-WF-020-012-A,random,train
8,22,17,78972,3897,CFD-BF-050-036-F,CFD-BM-038-038-A,CFD-WF-020-023-HO,CFD-WF-020-023-HO,random,train
21,23,27,78972,2817,CFD-WF-020-012-A,CFD-WF-020-027-F,CFD-WM-023-004-HO,CFD-WF-020-027-F,random,test
31,28,8,78972,4439,CFD-WM-033-014-A,CFD-BF-050-036-F,CFD-WM-023-012-A,CFD-WM-023-012-A,random,train
33,0,28,78972,4674,CFD-WM-038-005-HO,CFD-WM-023-012-A,CFD-BF-002-004-HO,CFD-BF-002-004-HO,random,train
21,18,30,78972,4289,CFD-WF-020-012-A,CFD-WM-033-007-HO,CFD-WF-001-009-HO,CFD-WF-001-009-HO,random,train
15,3,27,78972,2189,CFD-BM-038-007-HO,CFD-WM-023-004-HO,CFD-BF-005-005-HO,CFD-BF-005-005-HO,random,train
28,7,2,78972,6503,CFD-WM-023-012-A,CFD-BF-002-022-F,CFD-BF-050-012-A,CFD-BF-050-012-A,random,train
33,19,8,78972,3847,CFD-WM-038-005-HO,CFD-BF-050-036-F,CFD-WF-001-016-A,CFD-WF-001-016-A,random,train
24,1,6,78972,4460,CFD-WF-026-008-A,CFD-BF-050-004-HO,CFD-BF-002-018-A,CFD-BF-002-018-A,random,train
35,22,5,78972,2425,CFD-WM-038-018-F,CFD-WF-020-023-HO,CFD-BF-005-022-F,CFD-WF-020-023-HO,random,train
5,10,29,78972,1817,CFD-BF-005-022-F,CFD-WM-023-015-F,CFD-BM-002-007-HO,CFD-BM-002-007-HO,random,train
30,33,6,78972,2338,CFD-WM-033-007-HO,CFD-WM-038-005-HO,CFD-BF-050-004-HO,CFD-WM-038-005-HO,random,train
33,12,29,78972,9492,CFD-WM-038-005-HO,CFD-BM-009-003-HO,CFD-WM-023-015-F,CFD-BM-009-003-HO,random,train
28,31,4,78972,5223,CFD-WM-023-012-A,CFD-WM-033-014-A,CFD-BF-005-020-A,CFD-WM-033-014-A,random,test
15,1,14,78972,4772,CFD-BM-038-007-HO,CFD-BM-009-009-F,CFD-BF-002-018-A,CFD-BF-002-018-A,random,test
12,10,28,78972,1546,CFD-BM-009-003-HO,CFD-WM-023-012-A,CFD-BM-002-007-HO,CFD-BM-002-007-HO,random,train
18,3,28,78972,3096,CFD-WF-001-009-HO,CFD-BF-005-005-HO,CFD-WM-023-012-A,CFD-BF-005-005-HO,random,train
19,28,13,78972,6775,CFD-WF-001-016-A,CFD-BM-009-008-A,CFD-WM-023-012-A,CFD-WM-023-012-A,random,train
24,23,9,78972,3655,CFD-WF-026-008-A,CFD-WF-020-027-F,CFD-BM-002-002-F,CFD-WF-020-027-F,random,train
31,31,3,78972,1260,CFD-WM-033-014-A,CFD-BF-005-005-HO,CFD-WM-033-014-A,CFD-WM-033-014-A,check,NA
24,11,3,78972,5546,CFD-WF-026-008-A,CFD-BF-005-005-HO,CFD-BM-002-016-A,CFD-BM-002-016-A,random,test
5,4,21,78972,1655,CFD-BF-005-022-F,CFD-WF-020-012-A,CFD-BF-005-020-A,CFD-BF-005-020-A,random,train
0,23,27,78972,3057,CFD-BF-002-004-HO,CFD-WF-020-027-F,CFD-WM-023-004-HO,CFD-WF-020-027-F,random,test
4,8,15,78972,2019,CFD-BF-005-020-A,CFD-BF-050-036-F,CFD-BM-038-007-HO,CFD-BF-050-036-F,random,test
17,8,2,78972,4385,CFD-BM-038-038-A,CFD-BF-002-022-F,CFD-BF-050-036-F,CFD-BF-050-036-F,random,test
8,16,17,78972,4942,CFD-BF-050-036-F,CFD-BM-038-038-A,CFD-BM-038-017-F,CFD-BM-038-017-F,random,train
7,23,25,78972,2986,CFD-BF-050-012-A,CFD-WF-026-017-HO,CFD-WF-020-027-F,CFD-WF-020-027-F,random,train
17,26,18,78972,2062,CFD-BM-038-038-A,CFD-WF-001-009-HO,CFD-WF-026-024-F,CFD-WF-026-024-F,random,train
21,18,15,78972,4728,CFD-WF-020-012-A,CFD-BM-038-007-HO,CFD-WF-001-009-HO,CFD-WF-001-009-HO,random,train
30,5,8,78972,5584,CFD-WM-033-007-HO,CFD-BF-050-036-F,CFD-BF-005-022-F,CFD-BF-005-022-F,random,train
7,13,33,78972,2214,CFD-BF-050-012-A,CFD-BM-009-008-A,CFD-WM-038-005-HO,CFD-BM-009-008-A,random,train
34,31,13,78972,3657,CFD-WM-038-011-A,CFD-WM-033-014-A,CFD-BM-009-008-A,CFD-WM-033-014-A,random,train
26,17,12,78972,2182,CFD-WF-026-024-F,CFD-BM-038-038-A,CFD-BM-009-003-HO,CFD-BM-038-038-A,random,train
27,10,0,78972,2208,CFD-WM-023-004-HO,CFD-BM-002-007-HO,CFD-BF-002-004-HO,CFD-BM-002-007-HO,random,test
0,1,33,78972,1010,CFD-BF-002-004-HO,CFD-BF-002-018-A,CFD-WM-038-005-HO,CFD-BF-002-018-A,random,test
5,13,6,78972,4936,CFD-BF-005-022-F,CFD-BM-009-008-A,CFD-BF-050-004-HO,CFD-BM-009-008-A,random,train
1,32,24,78972,3527,CFD-BF-002-018-A,CFD-WF-026-008-A,CFD-WM-033-053-F,CFD-WM-033-053-F,random,train
0,1,29,78972,1171,CFD-BF-002-004-HO,CFD-WM-023-015-F,CFD-BF-002-018-A,CFD-BF-002-018-A,random,test
35,21,25,78972,2155,CFD-WM-038-018-F,CFD-WF-020-012-A,CFD-WF-026-017-HO,CFD-WF-020-012-A,random,train
15,16,26,78972,1086,CFD-BM-038-007-HO,CFD-WF-026-024-F,CFD-BM-038-017-F,CFD-BM-038-017-F,random,train
0,5,27,78972,2519,CFD-BF-002-004-HO,CFD-BF-005-022-F,CFD-WM-023-004-HO,CFD-BF-005-022-F,random,train
4,4,33,78972,4222,CFD-BF-005-020-A,CFD-WM-038-005-HO,CFD-BF-005-020-A,CFD-BF-005-020-A,check,NA
1,17,20,78972,5258,CFD-BF-002-018-A,CFD-WF-001-027-F,CFD-BM-038-038-A,CFD-BM-038-038-A,random,train
20,7,14,78972,7658,CFD-WF-001-027-F,CFD-BF-050-012-A,CFD-BM-009-009-F,CFD-BF-050-012-A,random,train
30,12,0,78972,2303,CFD-WM-033-007-HO,CFD-BM-009-003-HO,CFD-BF-002-004-HO,CFD-BM-009-003-HO,random,train
15,0,23,78972,1363,CFD-BM-038-007-HO,CFD-WF-020-027-F,CFD-BF-002-004-HO,CFD-BF-002-004-HO,random,train
30,7,15,78972,2103,CFD-WM-033-007-HO,CFD-BM-038-007-HO,CFD-BF-050-012-A,CFD-BF-050-012-A,random,train
27,29,34,78972,1477,CFD-WM-023-004-HO,CFD-WM-023-015-F,CFD-WM-038-011-A,CFD-WM-023-015-F,random,train
1,14,5,78972,14002,CFD-BF-002-018-A,CFD-BF-005-022-F,CFD-BM-009-009-F,CFD-BM-009-009-F,random,train
2,0,8,78972,1123,CFD-BF-002-022-F,CFD-BF-050-036-F,CFD-BF-002-004-HO,CFD-BF-002-004-HO,random,test
20,22,33,78972,8104,CFD-WF-001-027-F,CFD-WM-038-005-HO,CFD-WF-020-023-HO,CFD-WF-020-023-HO,random,train
2,30,24,78972,2425,CFD-BF-002-022-F,CFD-WF-026-008-A,CFD-WM-033-007-HO,CFD-WM-033-007-HO,random,train
29,13,26,78972,1669,CFD-WM-023-015-F,CFD-BM-009-008-A,CFD-WF-026-024-F,CFD-BM-009-008-A,random,test
4,32,18,78972,11015,CFD-BF-005-020-A,CFD-WF-001-009-HO,CFD-WM-033-053-F,CFD-WM-033-053-F,random,train
33,23,4,78972,1567,CFD-WM-038-005-HO,CFD-WF-020-027-F,CFD-BF-005-020-A,CFD-WF-020-027-F,random,test
35,21,26,78972,4024,CFD-WM-038-018-F,CFD-WF-020-012-A,CFD-WF-026-024-F,CFD-WF-020-012-A,random,train
23,12,2,78972,4291,CFD-WF-020-027-F,CFD-BF-002-022-F,CFD-BM-009-003-HO,CFD-BM-009-003-HO,random,train
17,18,10,78972,5922,CFD-BM-038-038-A,CFD-WF-001-009-HO,CFD-BM-002-007-HO,CFD-WF-001-009-HO,random,train
22,13,6,78972,4674,CFD-WF-020-023-HO,CFD-BF-050-004-HO,CFD-BM-009-008-A,CFD-BM-009-008-A,random,train
10,14,34,78972,1624,CFD-BM-002-007-HO,CFD-WM-038-011-A,CFD-BM-009-009-F,CFD-BM-009-009-F,random,train
2,2,24,78972,1197,CFD-BF-002-022-F,CFD-WF-026-008-A,CFD-BF-002-022-F,CFD-BF-002-022-F,check,NA
6,8,29,78972,1045,CFD-BF-050-004-HO,CFD-BF-050-036-F,CFD-WM-023-015-F,CFD-BF-050-036-F,random,test
29,31,24,78972,3958,CFD-WM-023-015-F,CFD-WM-033-014-A,CFD-WF-026-008-A,CFD-WM-033-014-A,random,test
19,7,14,78972,2798,CFD-WF-001-016-A,CFD-BM-009-009-F,CFD-BF-050-012-A,CFD-BF-050-012-A,random,train
23,28,1,78972,2492,CFD-WF-020-027-F,CFD-BF-002-018-A,CFD-WM-023-012-A,CFD-WM-023-012-A,random,train
4,34,26,78972,2296,CFD-BF-005-020-A,CFD-WM-038-011-A,CFD-WF-026-024-F,CFD-WM-038-011-A,random,train
31,4,33,78972,3549,CFD-WM-033-014-A,CFD-WM-038-005-HO,CFD-BF-005-020-A,CFD-BF-005-020-A,random,train
13,6,27,78972,1782,CFD-BM-009-008-A,CFD-BF-050-004-HO,CFD-WM-023-004-HO,CFD-BF-050-004-HO,random,train
20,18,3,78972,1131,CFD-WF-001-027-F,CFD-BF-005-005-HO,CFD-WF-001-009-HO,CFD-WF-001-009-HO,random,train
21,3,10,78972,2576,CFD-WF-020-012-A,CFD-BF-005-005-HO,CFD-BM-002-007-HO,CFD-BF-005-005-HO,random,train
18,18,15,78972,2087,CFD-WF-001-009-HO,CFD-WF-001-009-HO,CFD-BM-038-007-HO,CFD-WF-001-009-HO,check,NA
14,35,15,78972,7416,CFD-BM-009-009-F,CFD-BM-038-007-HO,CFD-WM-038-018-F,CFD-WM-038-018-F,random,train
24,5,28,78972,5382,CFD-WF-026-008-A,CFD-WM-023-012-A,CFD-BF-005-022-F,CFD-BF-005-022-F,random,train
22,31,19,78972,4110,CFD-WF-020-023-HO,CFD-WM-033-014-A,CFD-WF-001-016-A,CFD-WM-033-014-A,random,train
8,8,17,78972,950,CFD-BF-050-036-F,CFD-BM-038-038-A,CFD-BF-050-036-F,CFD-BF-050-036-F,check,NA
33,2,8,78972,2606,CFD-WM-038-005-HO,CFD-BF-002-022-F,CFD-BF-050-036-F,CFD-BF-002-022-F,random,train
6,22,10,78972,9845,CFD-BF-050-004-HO,CFD-BM-002-007-HO,CFD-WF-020-023-HO,CFD-WF-020-023-HO,random,train
18,8,3,78972,4894,CFD-WF-001-009-HO,CFD-BF-050-036-F,CFD-BF-005-005-HO,CFD-BF-050-036-F,random,test
11,13,3,78972,1174,CFD-BM-002-016-A,CFD-BM-009-008-A,CFD-BF-005-005-HO,CFD-BM-009-008-A,random,train
17,9,20,78972,1848,CFD-BM-038-038-A,CFD-BM-002-002-F,CFD-WF-001-027-F,CFD-BM-002-002-F,random,test
25,5,21,78972,3009,CFD-WF-026-017-HO,CFD-BF-005-022-F,CFD-WF-020-012-A,CFD-BF-005-022-F,random,train
28,22,17,78972,2610,CFD-WM-023-012-A,CFD-WF-020-023-HO,CFD-BM-038-038-A,CFD-WF-020-023-HO,random,train
10,19,33,78972,3529,CFD-BM-002-007-HO,CFD-WM-038-005-HO,CFD-WF-001-016-A,CFD-WF-001-016-A,random,train
7,35,18,78972,2403,CFD-BF-050-012-A,CFD-WM-038-018-F,CFD-WF-001-009-HO,CFD-WM-038-018-F,random,train
3,35,32,78972,2238,CFD-BF-005-005-HO,CFD-WM-033-053-F,CFD-WM-038-018-F,CFD-WM-038-018-F,random,train
22,4,27,78972,2929,CFD-WF-020-023-HO,CFD-BF-005-020-A,CFD-WM-023-004-HO,CFD-BF-005-020-A,random,train
32,30,4,78972,1095,CFD-WM-033-053-F,CFD-WM-033-007-HO,CFD-BF-005-020-A,CFD-WM-033-007-HO,random,train
30,33,26,78972,7265,CFD-WM-033-007-HO,CFD-WF-026-024-F,CFD-WM-038-005-HO,CFD-WM-038-005-HO,random,train
16,3,21,78972,16194,CFD-BM-038-017-F,CFD-BF-005-005-HO,CFD-WF-020-012-A,CFD-BF-005-005-HO,random,train
21,32,28,78972,1408,CFD-WF-020-012-A,CFD-WM-023-012-A,CFD-WM-033-053-F,CFD-WM-033-053-F,random,train
29,11,18,78972,2023,CFD-WM-023-015-F,CFD-BM-002-016-A,CFD-WF-001-009-HO,CFD-BM-002-016-A,random,train
17,17,14,78972,1141,CFD-BM-038-038-A,CFD-BM-038-038-A,CFD-BM-009-009-F,CFD-BM-038-038-A,check,NA
18,22,8,78972,1785,CFD-WF-001-009-HO,CFD-WF-020-023-HO,CFD-BF-050-036-F,CFD-WF-020-023-HO,random,train
32,27,11,78972,1535,CFD-WM-033-053-F,CFD-BM-002-016-A,CFD-WM-023-004-HO,CFD-WM-023-004-HO,random,test
31,7,18,78972,9323,CFD-WM-033-014-A,CFD-WF-001-009-HO,CFD-BF-050-012-A,CFD-BF-050-012-A,random,test
24,5,20,78972,1510,CFD-WF-026-008-A,CFD-BF-005-022-F,CFD-WF-001-027-F,CFD-BF-005-022-F,random,train
16,14,2,78972,2940,CFD-BM-038-017-F,CFD-BF-002-022-F,CFD-BM-009-009-F,CFD-BM-009-009-F,random,train
19,5,8,78972,2058,CFD-WF-001-016-A,CFD-BF-050-036-F,CFD-BF-005-022-F,CFD-BF-005-022-F,random,train
26,33,27,78972,7699,CFD-WF-026-024-F,CFD-WM-023-004-HO,CFD-WM-038-005-HO,CFD-WM-038-005-HO,random,test
28,22,21,78972,4632,CFD-WM-023-012-A,CFD-WF-020-012-A,CFD-WF-020-023-HO,CFD-WF-020-023-HO,random,train
